"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","Check","FD","SD","UP","FW"
"ENG1.3",2,33,2,3,3,5,2,2,4,4,2,3,4,4,3,4,3,5,2,3,3,3,4,2,4,3,3,4,4,NA,2.2,2.85714285714286,3.375,4.28571428571429
"ENG1.3",1,39,2,4,2,4,2,2,4,4,2,5,4,4,2,4,4,5,2,2,2,2,4,2,4,4,2,4,4,NA,2,3.28571428571429,3,4.14285714285714
"ENG1.3",1,52,3,4,4,3,2,2,4,4,2,4,4,3,2,4,4,4,2,3,4,4,3,4,3,4,3,4,4,NA,2.2,3.57142857142857,3.875,3.42857142857143
"ENG1.3",1,48,1,3,2,3,2,1,5,4,1,4,2,2,2,4,2,4,2,3,2,2,2,2,4,4,2,3,3,NA,1.6,3,2.5,3.14285714285714
"ENG1.3",1,31,1,3,3,3,1,1,4,4,2,1,3,3,1,2,2,3,2,3,2,3,4,3,3,4,3,2,4,NA,1.4,2.42857142857143,3,3.14285714285714
"ENG1.3",1,29,3,3,2,4,3,5,4,4,3,4,3,5,5,2,4,4,3,4,5,3,3,5,3,5,4,2,3,NA,3.4,4,3.5,3.57142857142857
"ENG1.3",1,54,4,3,4,3,2,3,4,4,2,3,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,3,2,NA,2.6,3.28571428571429,3.125,3.28571428571429
"ENG1.3",2,44,4,4,2,3,3,3,2,5,3,3,3,3,2,4,4,4,3,3,3,5,4,4,4,4,4,4,4,NA,3,3.57142857142857,3.375,3.85714285714286
"ENG1.3",1,27,2,2,2,4,2,1,5,4,2,2,4,4,2,2,5,4,4,2,4,2,2,3,3,2,2,3,4,NA,2.4,2,3.5,3.42857142857143
"ENG1.3",1,40,5,4,4,4,4,2,4,4,4,2,4,5,4,2,5,4,4,4,4,4,4,4,4,2,4,4,4,NA,4.2,2.85714285714286,4.125,4.14285714285714
"ENG1.3",1,33,2,4,1,5,1,1,3,5,1,1,2,5,1,2,2,5,1,4,1,1,5,4,5,2,2,5,3,NA,1.2,2.57142857142857,1.875,5
"ENG1.3",2,69,4,5,2,5,4,3,2,5,4,5,2,3,4,2,2,5,4,5,2,2,1,3,5,3,2,2,2,NA,4,3.71428571428571,2,3.71428571428571
"ENG1.3",1,26,2,4,2,4,1,4,4,4,2,2,2,4,2,4,2,4,1,1,4,4,4,4,4,3,2,4,4,NA,1.6,3.14285714285714,3,4
"ENG1.3",3,32,1,5,5,1,3,3,4,3,1,5,4,1,3,5,4,1,3,3,4,4,1,3,1,5,4,1,3,NA,2.2,4.14285714285714,4,1.28571428571429
"ENG1.3",2,44,3,4,3,2,4,2,4,5,4,4,4,2,4,4,2,4,4,4,2,4,2,2,5,2,4,4,2,NA,3.8,3.14285714285714,3.125,3.42857142857143
"ENG1.3",1,30,4,3,4,3,4,5,5,5,4,4,4,4,5,4,5,4,3,3,3,4,5,5,3,4,3,4,5,NA,4,4,4.125,4
"ENG1.3",NA,30,4,2,4,4,4,4,3,3,3,3,2,3,2,2,3,2,3,2,4,3,2,3,3,3,2,3,3,NA,3.2,2.71428571428571,3,2.85714285714286
"ENG1.3",2,45,2,3,2,4,4,3,4,5,2,3,4,4,2,3,4,5,3,3,4,4,4,3,4,3,4,5,4,NA,2.6,3,3.75,4.42857142857143
"ENG1.3",1,45,1,2,1,4,2,1,4,5,1,2,4,4,1,1,4,5,1,1,4,1,5,2,5,2,1,5,5,NA,1.2,1.57142857142857,3,4.71428571428571
"ENG1.3",1,33,1,4,2,5,2,3,5,5,1,4,3,4,1,4,4,5,1,4,2,1,5,4,5,5,1,4,3,NA,1.2,4,2.625,4.71428571428571
"ENG1.3",2,33,2,3,3,2,1,1,5,3,1,1,4,3,1,2,5,4,1,1,4,1,1,1,2,1,4,2,5,NA,1.2,1.42857142857143,3.875,2.42857142857143
"ENG1.3",1,30,2,4,2,3,4,3,3,4,3,4,2,3,4,3,2,4,3,3,3,4,4,2,2,2,4,2,3,NA,3.2,3,2.875,3.14285714285714
"ENG1.3",2,25,1,1,1,5,1,3,2,5,1,1,1,5,1,2,3,5,1,1,1,1,5,1,5,1,1,5,1,NA,1,1.42857142857143,1.375,5
"ENG1.3",2,53,3,5,2,4,2,1,4,5,2,1,4,5,2,3,4,5,2,3,3,2,5,2,4,2,2,4,4,NA,2.2,2.42857142857143,3.125,4.57142857142857
"ENG1.3",1,31,1,1,1,5,3,1,4,5,1,1,4,4,1,3,4,5,1,4,2,1,3,2,5,1,3,5,4,NA,1.4,1.85714285714286,2.875,4.57142857142857
"ENG1.3",2,35,1,2,4,4,1,2,4,4,1,3,4,2,2,4,4,3,1,2,2,4,3,4,2,4,3,1,4,NA,1.2,3,3.625,2.71428571428571
"ENG1.3",1,67,1,1,2,4,3,1,1,5,1,1,1,2,3,2,2,5,1,2,1,4,3,1,4,1,2,3,1,NA,1.8,1.28571428571429,1.75,3.71428571428571
"ENG1.3",2,41,1,4,3,4,2,3,4,4,1,3,4,3,2,4,4,4,2,4,3,4,4,4,3,4,4,2,3,NA,1.6,3.71428571428571,3.625,3.42857142857143
"ENG1.3",2,62,2,3,3,4,1,3,4,3,3,2,3,3,2,2,3,3,3,2,3,4,4,2,2,3,3,2,3,NA,2.2,2.42857142857143,3.25,3
"ENG1.3",2,42,2,4,2,4,3,4,4,2,2,2,4,4,4,4,4,2,3,3,4,4,2,2,3,3,4,3,2,NA,2.8,3.14285714285714,3.5,2.85714285714286
"ENG1.3",2,68,1,2,1,4,1,1,5,5,1,2,5,5,1,2,5,5,1,4,5,3,4,1,4,1,4,5,5,NA,1,1.85714285714286,4.125,4.57142857142857
"ENG1.3",2,33,3,5,3,5,1,4,5,5,4,5,4,5,3,5,5,3,3,4,5,3,5,1,4,1,5,5,1,NA,2.8,3.57142857142857,3.875,4.57142857142857
"ENG1.3",1,34,1,5,3,4,2,2,4,5,1,3,4,5,2,3,3,5,3,5,2,3,4,3,3,4,3,5,2,NA,1.8,3.57142857142857,3,4.42857142857143
"ENG1.3",2,50,3,3,4,2,3,3,4,3,3,2,4,2,3,4,4,3,3,3,4,4,2,3,2,4,2,2,4,NA,3,3.14285714285714,3.75,2.28571428571429
"ENG1.3",1,29,4,4,5,5,4,2,4,4,2,5,4,2,4,4,4,4,4,2,5,5,2,4,4,2,4,2,4,NA,3.6,3.28571428571429,4.375,3.28571428571429
"ENG1.3",1,27,3,3,2,3,3,2,4,4,4,4,4,2,4,4,3,4,3,4,4,2,4,4,3,3,4,5,3,NA,3.4,3.42857142857143,3.25,3.57142857142857
"ENG1.3",1,36,4,4,3,3,1,5,2,5,1,5,2,3,2,4,4,5,2,3,2,3,3,3,5,5,3,4,3,NA,2,4.14285714285714,2.75,4
"ENG1.3",1,71,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,4,4,4,NA,3.6,2.57142857142857,4,2.57142857142857
"ENG1.3",2,50,4,3,3,5,3,2,5,5,4,3,5,4,4,4,5,5,4,4,4,3,5,4,5,4,3,5,4,NA,3.8,3.42857142857143,4,4.85714285714286
"ENG1.3",1,39,2,3,4,4,2,2,4,5,2,3,2,4,2,4,3,5,3,3,3,4,4,4,5,3,3,4,4,NA,2.2,3.14285714285714,3.375,4.42857142857143
"ENG1.3",1,38,2,3,3,4,3,4,4,4,3,3,4,4,3,2,4,4,2,3,3,4,4,4,2,4,3,4,4,NA,2.6,3.28571428571429,3.625,3.71428571428571
"ENG1.3",1,27,5,3,3,5,1,5,3,5,3,5,3,5,3,3,5,5,1,5,5,5,5,5,5,5,5,5,1,NA,2.6,4.42857142857143,3.75,5
"ENG1.3",1,32,1,3,3,4,2,4,3,5,1,3,3,4,1,3,4,2,1,2,2,3,2,3,2,3,4,4,3,NA,1.2,3,3.125,3.28571428571429
"ENG1.3",1,31,1,2,4,5,1,1,4,4,4,5,3,5,5,1,3,4,2,2,5,3,5,2,1,3,4,4,2,NA,2.6,2.28571428571429,3.5,4
"ENG1.3",1,52,2,3,3,4,3,2,4,4,2,4,3,4,2,4,4,1,1,2,2,3,3,2,2,4,2,2,4,NA,2,3,3.125,2.85714285714286
"ENG1.3",2,38,4,3,4,4,4,3,4,5,4,3,4,4,4,3,4,4,4,3,4,2,4,2,3,3,4,4,4,NA,4,2.85714285714286,3.75,4
"ENG1.3",2,35,1,4,4,2,1,2,5,3,2,2,5,5,2,2,4,2,4,4,4,5,2,2,2,2,4,4,5,NA,2,2.57142857142857,4.5,2.85714285714286
"ENG1.3",2,35,4,4,4,5,4,2,5,5,4,1,2,4,5,3,4,4,5,2,5,5,5,4,4,3,2,5,4,NA,4.4,2.71428571428571,3.875,4.57142857142857
"ENG1.3",1,23,1,5,1,5,1,1,5,5,1,4,5,5,1,5,5,1,1,4,5,5,5,5,1,5,5,5,5,NA,1,4.14285714285714,4.5,3.85714285714286
"ENG1.3",2,56,2,4,4,4,3,2,5,4,4,2,5,3,4,4,5,5,3,2,4,4,4,2,4,3,4,2,5,NA,3.2,2.71428571428571,4.5,3.71428571428571
"ENG1.3",1,24,2,2,3,5,2,3,4,4,2,3,4,3,2,4,4,3,2,2,3,4,4,3,4,3,2,4,2,NA,2,2.85714285714286,3.25,3.85714285714286
"ENG1.3",1,38,2,3,2,4,2,2,4,4,2,4,4,4,1,3,3,4,3,3,2,3,3,2,4,3,3,4,4,NA,2,2.85714285714286,3.125,3.85714285714286
"ENG1.3",1,39,2,4,2,4,2,2,3,5,2,3,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,3,NA,2.2,3.14285714285714,3.125,3.71428571428571
"ENG1.3",1,62,1,4,2,4,1,5,4,4,1,3,2,1,1,4,2,4,1,5,2,5,4,4,2,3,3,1,4,NA,1,4,3,2.85714285714286
"ENG1.3",2,43,3,4,4,5,4,3,3,4,4,4,4,4,3,4,4,5,3,4,4,2,4,4,5,4,3,4,3,NA,3.4,3.85714285714286,3.375,4.42857142857143
"ENG1.3",1,37,3,3,3,4,2,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3,NA,3,3,3.25,3.85714285714286
"ENG1.3",2,36,2,3,2,4,4,4,3,5,4,3,1,5,4,4,3,5,4,4,4,2,4,2,4,3,2,4,3,NA,3.6,3.28571428571429,2.5,4.42857142857143
"ENG1.3",2,46,4,3,4,3,3,3,2,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2,NA,3.4,3.42857142857143,3.125,3.57142857142857
"ENG1.3",2,55,1,4,4,4,2,1,4,4,2,2,3,4,2,2,4,4,2,2,3,4,4,2,3,2,2,4,4,NA,1.8,2.14285714285714,3.5,3.85714285714286
"ENG1.3",1,32,1,3,3,3,2,3,3,4,1,2,3,3,2,3,3,4,1,3,3,3,3,2,3,3,3,4,3,NA,1.4,2.71428571428571,3,3.42857142857143
"ENG1.3",2,47,2,4,3,2,2,4,2,4,3,4,4,2,2,4,4,3,4,4,2,4,2,2,3,2,3,2,2,NA,2.6,3.42857142857143,3,2.57142857142857
"ENG1.4",1,25,3,3,2,4,3,4,3,2,2,2,4,3,4,3,4,3,2,4,4,3,3,4,3,3,4,5,4,NA,2.8,3.28571428571429,3.5,3.28571428571429
"ENG1.4",2,22,4,4,2,2,2,3,4,4,4,4,3,3,5,5,4,3,3,3,5,4,4,4,2,2,3,4,3,NA,3.6,3.57142857142857,3.5,3.14285714285714
"ENG1.4",2,21,4,4,4,4,4,4,5,3,4,5,5,5,5,3,4,3,3,5,4,4,5,5,4,3,4,2,4,NA,4,4.14285714285714,4.25,3.71428571428571
"ENG1.4",1,30,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,NA,5,4.57142857142857,4.875,4.85714285714286
"ENG1.4",1,32,1,3,1,5,2,1,5,5,1,2,2,5,2,2,2,5,2,2,3,1,5,4,5,2,5,4,4,NA,1.6,2.28571428571429,2.875,4.85714285714286
"ENG1.4",2,22,4,2,2,3,2,3,4,5,3,2,5,2,2,2,4,3,4,3,2,5,5,2,4,5,3,5,4,NA,3,2.71428571428571,3.625,3.85714285714286
"ENG1.4",2,31,2,4,1,4,1,4,4,4,1,4,4,4,4,4,4,5,1,4,4,1,5,3,5,2,1,4,4,NA,1.8,3.57142857142857,2.875,4.42857142857143
"ENG1.4",2,32,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,NA,4,3.28571428571429,4,3.71428571428571
"ENG1.4",2,32,2,4,2,4,2,2,4,4,2,4,3,4,2,4,4,4,2,3,3,2,4,4,3,4,4,4,4,NA,2,3.57142857142857,3.25,3.85714285714286
"ENG1.4",1,23,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,NA,3,3.28571428571429,3,3.57142857142857
"ENG1.4",1,34,1,4,3,5,2,2,3,2,1,3,1,5,1,4,3,5,1,3,2,3,5,5,4,5,2,4,5,NA,1.2,3.71428571428571,2.75,4.28571428571429
"ENG1.4",2,22,4,3,4,2,3,3,2,2,2,4,2,3,4,2,2,4,3,2,4,3,3,2,2,4,4,4,2,NA,3.2,2.85714285714286,2.875,2.85714285714286
"ENG1.4",1,31,2,3,3,4,3,2,5,4,2,2,3,4,4,2,4,4,2,2,4,3,4,4,3,3,3,4,5,NA,2.6,2.57142857142857,3.75,3.85714285714286
"ENG1.4",1,27,4,4,3,4,3,2,4,5,4,1,3,5,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,NA,3.8,3.14285714285714,3.75,4.42857142857143
"ENG1.4",1,40,3,4,4,3,4,2,5,4,4,2,3,4,2,2,4,4,4,2,2,4,4,4,2,4,4,4,4,NA,3.4,2.85714285714286,3.75,3.57142857142857
"ENG1.4",2,31,2,2,2,4,2,2,4,4,2,2,3,4,2,3,4,5,2,2,4,4,4,2,4,3,3,4,3,NA,2,2.28571428571429,3.375,4.14285714285714
"ENG1.4",1,24,3,3,3,2,2,2,3,3,3,4,3,4,3,2,4,2,3,4,3,2,1,3,2,3,2,4,2,NA,2.8,3,2.75,2.57142857142857
"ENG1.4",1,35,1,3,5,5,1,3,3,5,1,1,3,4,1,2,2,5,1,3,3,3,5,2,5,1,3,2,3,NA,1,2.14285714285714,3.125,4.42857142857143
"ENG1.4",2,24,5,5,5,5,1,5,5,5,5,1,5,5,1,5,5,2,5,5,5,1,5,1,1,5,1,5,3,NA,3.4,3.85714285714286,3.75,4
"ENG1.4",2,31,2,3,3,4,3,2,5,5,3,2,5,2,2,3,5,4,2,4,5,4,4,4,3,4,4,3,5,NA,2.4,3.14285714285714,4.5,3.57142857142857
"ENG1.4",2,25,1,1,1,5,2,2,4,5,2,2,4,5,2,2,4,4,1,2,3,2,5,1,4,2,4,4,4,NA,1.6,1.71428571428571,3.25,4.57142857142857
"ENG1.4",2,30,2,3,3,4,2,2,3,5,2,1,3,3,2,4,4,4,2,3,3,1,5,3,3,4,3,3,3,NA,2,2.85714285714286,2.875,3.85714285714286
"ENG1.4",2,29,1,3,5,4,1,2,4,4,1,3,3,4,1,3,3,3,1,4,2,1,4,3,4,4,4,4,4,NA,1,3.14285714285714,3.25,3.85714285714286
"ENG1.4",1,31,5,4,5,4,2,2,2,4,2,2,4,4,3,3,4,4,4,4,5,4,4,4,3,5,2,5,4,NA,3.2,3.42857142857143,3.75,4
"ENG1.4",1,32,3,3,3,4,1,4,4,5,3,3,3,4,2,3,3,5,3,4,3,3,4,2,4,4,3,4,3,NA,2.4,3.28571428571429,3.125,4.28571428571429
"ENG1.4",2,58,4,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,2,4,4,4,NA,4,3.71428571428571,4.375,4.42857142857143
"ENG1.4",1,30,5,4,5,4,4,5,4,4,4,4,4,5,3,4,4,5,4,4,5,4,5,5,4,4,4,4,4,NA,4,4.28571428571429,4.25,4.42857142857143
"ENG1.4",1,38,3,3,3,4,2,4,4,4,3,2,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,3,NA,2.8,3.28571428571429,3.5,4
"ENG1.4",1,30,1,3,2,4,1,3,4,4,1,2,3,4,1,4,3,4,1,3,2,3,5,2,4,3,3,4,3,NA,1,2.85714285714286,2.875,4.14285714285714
"ENG1.4",2,22,4,4,4,2,4,2,2,2,4,2,4,4,2,4,2,4,4,2,2,4,4,4,4,2,2,4,4,NA,3.6,2.85714285714286,3,3.42857142857143
"ENG1.4",1,43,1,2,1,5,1,3,4,5,1,1,1,5,1,3,5,5,1,2,1,1,4,2,5,1,1,4,5,NA,1,2,2.375,4.71428571428571
"ENG1.4",2,47,2,2,2,5,1,1,5,5,2,1,3,5,2,2,4,5,2,1,4,1,2,4,2,1,1,4,3,NA,1.8,1.71428571428571,2.875,4
"ENG1.4",1,23,4,2,4,2,4,2,4,2,3,2,4,2,3,4,4,2,2,4,4,4,2,2,2,4,4,2,4,NA,3.2,2.85714285714286,4,2
"ENG1.4",1,62,1,4,2,4,2,3,3,4,2,4,3,3,2,3,3,4,2,3,3,3,4,4,4,3,3,4,3,NA,1.8,3.42857142857143,2.875,3.85714285714286
"ENG1.4",1,39,2,2,2,4,2,3,3,4,2,2,2,3,2,2,3,4,2,2,2,2,4,3,4,3,2,4,3,NA,2,2.42857142857143,2.375,3.85714285714286
"ENG1.4",1,29,1,4,3,2,1,1,5,4,1,2,5,2,2,3,4,3,4,1,4,3,4,2,2,3,3,2,4,NA,1.8,2.28571428571429,3.875,2.71428571428571
"ENG1.4",1,39,3,4,1,1,2,5,4,5,2,2,2,2,3,3,2,5,2,4,1,2,1,4,5,2,1,2,5,NA,2.4,3.42857142857143,2.25,3
"ENG1.4",1,42,1,4,4,2,2,4,4,3,3,4,4,2,3,3,4,3,1,4,4,5,4,4,1,5,4,3,4,NA,2,4,4.125,2.57142857142857
"ENG1.4",1,22,3,4,3,4,3,4,2,4,3,4,3,3,4,3,3,3,4,4,3,2,4,3,3,4,3,5,4,NA,3.4,3.71428571428571,2.875,3.71428571428571
"ENG1.4",1,32,1,3,4,4,2,2,4,3,2,1,3,3,2,3,3,3,3,3,4,5,3,1,2,3,3,2,4,NA,2,2.28571428571429,3.75,2.85714285714286
"ENG1.4",2,53,2,2,2,4,2,2,4,4,2,2,3,4,2,2,4,4,2,3,3,2,4,2,4,2,2,4,4,NA,2,2.14285714285714,3,4
"ENG1.4",2,42,2,2,2,4,2,2,2,4,2,2,2,4,2,4,2,4,2,2,2,2,4,4,4,2,4,4,4,NA,2,2.57142857142857,2.5,4
"ENG1.4",2,27,1,2,3,3,1,2,3,5,1,1,3,3,1,3,4,4,1,2,3,3,4,2,3,2,4,4,4,NA,1,2,3.375,3.71428571428571
"ENG1.4",1,31,1,4,1,4,1,3,1,4,1,2,1,4,1,4,4,3,1,3,1,1,5,3,4,3,1,3,2,NA,1,3.14285714285714,1.5,3.85714285714286
"ENG1.4",1,24,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,NA,3.6,3.42857142857143,3.25,3.57142857142857
"ENG1.4",2,65,1,4,1,5,2,4,5,5,1,2,5,5,1,4,5,5,1,2,2,5,5,4,5,4,1,2,5,NA,1.2,3.42857142857143,3.625,4.57142857142857
"ENG1.4",1,35,1,2,4,1,3,5,3,4,1,1,4,2,3,5,4,2,2,5,4,5,1,3,2,5,5,2,4,NA,2,3.71428571428571,4.125,2
"ENG1.4",2,36,3,3,3,4,3,2,4,5,3,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,NA,3,3.14285714285714,3.875,4.14285714285714
"ENG1.4",2,55,4,4,2,5,4,5,3,4,4,3,3,3,3,3,4,5,3,5,4,4,4,4,5,4,4,3,4,NA,3.6,4,3.5,4.14285714285714
"ENG1.4",1,30,2,3,3,4,2,2,5,4,3,2,5,4,3,4,5,4,2,3,4,3,4,4,3,2,4,4,5,NA,2.4,2.85714285714286,4.25,3.85714285714286
"ENG1.4",2,30,2,3,4,4,2,3,4,4,2,2,4,4,4,4,5,4,4,2,2,3,4,3,4,3,4,4,4,NA,2.8,2.85714285714286,3.75,4
"ENG1.4",1,27,2,3,3,4,2,2,5,4,2,3,5,4,2,3,5,3,3,4,3,3,5,3,3,3,3,4,4,NA,2.2,3,3.875,3.85714285714286
"ENG1.4",1,46,3,2,2,3,2,1,3,5,2,2,2,4,2,3,2,4,2,2,2,1,5,3,3,4,1,3,2,NA,2.2,2.42857142857143,1.875,3.85714285714286
"ENG1.4",2,60,4,2,4,4,1,1,5,5,4,3,5,5,2,3,4,5,4,4,4,2,4,5,4,3,3,4,3,NA,3,3,3.75,4.42857142857143
"ENG1.4",1,27,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,3,5,1,5,1,5,1,5,5,5,NA,1,1.28571428571429,4,5
"ENG1.4",1,33,3,5,2,3,2,1,4,4,3,3,4,2,3,4,4,4,1,4,3,2,3,2,2,2,1,2,3,NA,2.4,3,2.875,2.85714285714286
"ENG1.4",2,38,2,2,1,5,2,1,5,5,2,1,4,5,2,5,5,5,1,2,4,1,5,4,5,4,2,5,5,NA,1.8,2.71428571428571,3.375,5
"ENG1.4",2,26,2,1,1,5,2,2,4,4,1,1,5,5,1,2,3,5,1,2,5,1,5,2,4,3,5,5,4,NA,1.4,1.85714285714286,3.5,4.71428571428571
"ENG1.4",2,47,1,1,3,4,3,1,5,4,1,1,5,4,2,1,3,3,3,3,3,4,4,1,2,3,4,3,5,NA,2,1.57142857142857,4,3.42857142857143
"ENG1.4",1,31,1,1,1,5,1,1,5,5,1,1,1,5,1,1,5,5,1,1,3,1,5,1,5,1,1,5,5,NA,1,1,2.75,5
"ENG1.4",3,26,2,4,2,3,3,2,3,4,3,3,2,3,2,4,3,3,3,4,2,3,2,4,3,4,2,2,3,NA,2.6,3.57142857142857,2.5,2.85714285714286
"ENG1.4",1,47,1,1,2,4,1,1,4,5,1,1,3,5,1,2,4,5,1,2,3,2,4,1,4,1,2,4,3,NA,1,1.28571428571429,2.875,4.42857142857143
"ENG1.4",1,28,3,3,2,2,2,2,4,3,3,2,3,3,2,3,3,2,2,3,3,2,4,3,3,3,3,2,5,NA,2.4,2.71428571428571,3.125,2.71428571428571
"ENG1.4",2,54,4,2,4,4,2,3,5,5,4,2,4,4,4,3,4,5,4,4,4,3,4,3,4,4,3,3,5,NA,3.6,3,4,4.14285714285714
"ENG1.4",2,64,1,3,2,3,2,3,3,3,1,3,3,4,1,3,4,2,1,4,2,3,2,1,3,2,3,3,4,NA,1.2,2.71428571428571,3,2.85714285714286
"ENG1.4",1,23,3,4,3,3,3,4,4,4,4,2,2,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,NA,3.2,3.28571428571429,3.25,3.42857142857143
"ENG1.4",1,34,1,1,1,5,5,1,5,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,5,1,5,5,5,NA,1.8,1,3.5,5
"ENG1.4",1,40,5,2,2,4,3,3,3,5,5,3,3,5,5,4,4,5,5,5,4,2,2,1,5,5,1,5,3,NA,4.6,3.28571428571429,2.75,4.42857142857143
"ENG1.4",1,35,1,3,4,3,2,4,4,3,1,4,4,2,1,4,4,2,1,3,4,4,2,3,2,4,4,2,4,NA,1.2,3.57142857142857,4,2.28571428571429
"ENG1.4",2,26,4,3,3,3,4,3,4,4,3,4,3,2,2,4,4,4,3,3,2,2,4,3,2,2,4,3,4,NA,3.2,3.14285714285714,3.25,3.14285714285714
"ENG1.4",2,30,3,2,2,4,2,3,4,4,3,3,4,4,2,4,4,4,2,4,4,3,4,3,4,2,4,4,4,NA,2.4,3,3.625,4
"ENG1.4",1,33,1,4,1,5,2,2,4,5,1,2,5,5,1,5,4,5,1,4,5,2,4,2,4,4,1,5,5,NA,1.2,3.28571428571429,3.375,4.71428571428571
"ENG1.4",1,28,1,2,4,4,1,2,5,5,2,1,5,5,1,2,5,5,1,2,5,2,5,5,5,4,4,5,5,NA,1.2,2.57142857142857,4.375,4.85714285714286
"ENG1.4",1,27,2,2,4,4,3,2,2,3,2,2,4,3,2,2,4,4,3,3,4,3,2,3,2,3,2,4,3,NA,2.4,2.42857142857143,3.25,3.14285714285714
"ENG1.4",1,38,3,4,3,3,3,2,3,4,1,3,4,3,5,3,4,4,2,4,3,3,4,2,3,4,4,4,4,NA,2.8,3.14285714285714,3.5,3.57142857142857
"ENG1.4",2,33,3,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,NA,3.2,3.28571428571429,3.875,3.85714285714286
"ENG1.4",1,34,1,2,2,5,2,2,4,4,2,1,3,5,1,2,4,5,1,2,2,3,4,3,4,2,2,4,3,NA,1.4,2,2.875,4.42857142857143
"ENG1.4",2,25,1,4,2,4,1,2,2,4,1,1,4,2,1,2,2,4,1,2,1,5,4,2,2,4,4,4,4,NA,1,2.42857142857143,3,3.42857142857143
"ENG1.4",1,24,1,2,2,5,2,4,4,3,1,2,3,5,2,4,4,4,1,1,5,2,4,4,2,4,3,2,5,NA,1.4,3,3.5,3.57142857142857
"ENG1.4",1,23,1,1,5,5,1,1,5,5,1,5,5,5,1,4,5,5,1,3,5,5,5,2,5,2,5,5,5,NA,1,2.57142857142857,5,5
"ENG1.4",2,22,1,2,4,3,2,4,5,4,1,2,4,2,2,5,5,4,1,5,4,5,3,5,3,4,5,4,5,NA,1.4,3.85714285714286,4.625,3.28571428571429
"ENG1.4",1,48,1,3,1,5,1,3,4,5,1,1,2,5,1,3,3,4,3,4,1,4,5,3,2,3,5,3,3,NA,1.4,2.85714285714286,2.875,4.14285714285714
"ENG1.4",2,32,1,1,1,5,1,5,2,5,1,1,2,5,1,2,4,4,1,2,2,2,3,3,3,2,1,5,2,NA,1,2.28571428571429,2,4.28571428571429
"ENG1.4",1,27,1,4,3,5,1,5,5,4,1,2,5,5,1,5,1,4,1,3,3,3,5,4,5,4,2,5,4,NA,1,3.85714285714286,3.25,4.71428571428571
"ENG1.4",2,34,1,4,4,4,2,1,4,4,2,1,5,5,2,2,2,4,4,4,4,4,5,2,4,4,4,4,4,NA,2.2,2.57142857142857,3.875,4.28571428571429
"ENG1.4",1,24,1,3,4,3,2,3,4,3,4,4,4,3,3,4,4,5,5,4,3,3,4,4,5,4,4,5,4,NA,3,3.71428571428571,3.75,4
"ENG1.4",1,31,2,2,2,4,1,2,5,4,2,1,4,4,1,2,4,4,1,5,2,4,5,4,4,4,2,5,5,NA,1.4,2.85714285714286,3.5,4.28571428571429
"ENG1.4",1,50,1,3,4,2,3,3,4,2,1,1,4,1,3,3,4,4,1,3,4,5,4,4,2,4,4,3,4,NA,1.8,3,4.125,2.57142857142857
"ENG1.4",1,34,5,5,2,4,4,3,2,5,4,5,2,3,4,2,3,5,4,5,2,2,1,2,5,2,3,3,2,NA,4.2,3.42857142857143,2.25,3.71428571428571
"ENG1.4",2,33,2,3,1,4,2,2,4,4,2,2,3,4,2,4,3,5,2,4,4,4,3,3,4,3,3,4,4,NA,2,3,3.25,4
"ENG1.4",2,31,2,2,3,4,3,2,4,4,2,1,4,4,2,2,3,4,2,2,3,4,4,2,4,1,4,4,4,NA,2.2,1.71428571428571,3.625,4
"ENG1.4",1,26,3,3,4,4,1,5,3,4,4,3,4,4,3,4,5,5,4,5,4,4,5,3,4,4,5,4,2,NA,3,3.85714285714286,3.875,4.28571428571429
"ENG1.4",1,30,1,1,2,5,1,3,5,5,1,1,2,5,1,3,4,4,1,2,3,2,5,1,3,1,1,5,5,NA,1,1.71428571428571,3,4.57142857142857
