gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2,37,1,4,4,4,1,2,5,4,1,2,4,4,2,2,4,4,1,3,4,4,4,2,4,3,3,4,5
2,29,3,4,5,3,2,3,2,4,3,3,4,2,3,2,5,5,3,2,3,2,3,2,3,4,3,3,3
2,35,3,4,4,4,3,3,4,4,3,2,4,3,3,4,4,5,3,4,4,3,3,3,3,4,3,3,4
2,23,1,3,5,4,1,1,4,5,1,2,4,5,3,5,3,2,1,3,2,4,4,4,4,4,2,4,4
2,53,1,3,4,5,1,2,1,5,1,1,3,5,1,1,5,5,2,3,5,2,5,2,5,2,1,5,4
1,26,1,3,4,5,1,1,4,5,1,2,4,5,4,4,4,2,2,4,2,4,5,1,5,3,4,3,3
1,40,1,4,3,4,1,4,5,5,1,4,4,4,2,4,4,4,1,4,4,1,4,3,4,2,1,4,4
2,20,3,1,1,3,2,1,5,5,3,1,1,2,3,1,5,5,4,1,1,1,3,1,5,1,1,4,3
2,33,1,3,4,5,1,3,5,5,1,3,5,4,4,3,5,4,1,2,4,4,5,4,4,4,4,4,5
2,43,2,5,2,4,2,2,4,4,2,3,4,4,4,3,4,4,2,3,2,2,2,4,3,2,2,3,4
2,45,3,4,4,2,3,2,5,3,3,4,4,2,5,5,4,3,5,4,3,5,3,4,3,4,5,4,5
1,31,1,4,5,3,1,2,5,2,1,4,5,1,2,4,4,2,1,3,5,3,3,1,1,1,5,2,5
2,30,3,4,3,2,2,2,5,3,2,3,4,3,3,3,4,3,3,5,3,4,3,3,1,3,3,1,3
2,44,3,1,1,1,1,1,2,4,3,1,1,4,1,1,5,4,5,1,1,1,4,5,2,5,1,4,1
2,31,2,4,4,4,1,1,5,5,2,2,4,4,3,4,5,5,4,2,5,3,3,4,4,1,4,4,5
1,23,2,5,5,2,4,4,5,3,2,5,5,3,4,5,3,4,2,4,4,5,2,5,4,5,5,4,2
2,22,3,4,3,2,2,3,2,4,2,3,5,4,2,4,4,4,3,4,3,3,2,4,4,3,2,4,3
2,33,4,2,3,5,5,1,5,5,5,2,2,5,4,4,4,5,3,5,3,1,5,2,5,2,2,5,5
2,25,1,2,4,1,1,1,3,2,1,1,3,2,1,1,5,3,1,1,1,5,4,1,2,3,2,2,2
1,25,2,3,1,2,2,1,5,5,2,3,4,3,2,3,4,5,1,2,2,3,2,3,3,3,2,2,3
1,24,2,4,2,5,1,2,4,4,2,3,4,2,2,3,4,4,2,4,3,4,4,3,4,3,4,3,4
1,20,1,4,3,5,1,5,4,4,1,2,3,4,4,4,4,3,1,4,4,1,4,4,3,4,3,3,5
1,34,1,5,5,5,1,4,5,5,1,3,4,4,1,4,5,5,1,3,5,5,5,3,5,2,3,3,5
1,21,2,4,4,2,2,1,5,3,2,4,4,4,2,4,4,3,2,4,4,4,1,4,2,2,4,4,5
1,21,1,4,3,4,2,3,5,5,1,4,4,4,2,4,4,4,1,3,4,1,3,3,4,4,3,4,4
2,34,3,4,4,4,2,2,4,4,4,4,5,5,2,4,4,4,4,3,4,4,4,3,4,4,3,2,4
2,47,2,3,3,4,2,2,4,4,2,2,4,3,3,4,4,4,3,2,3,3,3,3,3,4,4,4,5
1,27,1,4,2,3,2,3,3,5,2,3,4,4,2,3,4,5,2,2,3,3,3,4,5,4,2,4,5
1,36,1,4,3,1,1,1,4,3,1,3,2,2,1,1,3,1,2,2,1,3,4,3,1,2,3,1,4
1,27,3,3,2,5,1,1,3,5,3,3,3,5,3,3,2,4,5,3,3,3,5,4,5,3,2,5,5
2,20,4,3,3,4,2,4,3,3,5,3,5,4,3,4,5,4,5,3,3,4,5,2,4,2,4,2,3
1,18,3,5,5,3,2,2,4,3,1,2,2,4,1,4,3,1,2,3,3,3,3,4,5,3,2,4,5
2,23,1,5,2,4,2,4,4,5,1,2,2,4,1,4,4,4,1,4,2,2,3,4,4,4,2,2,3
2,27,3,4,2,4,3,2,4,5,3,2,3,4,3,4,3,4,4,3,2,2,4,4,2,3,2,4,4
1,27,1,4,3,2,2,2,3,5,1,3,2,5,2,4,4,5,3,4,2,3,4,4,3,4,3,5,2
1,30,2,3,2,3,2,1,4,5,2,2,3,4,3,4,4,4,3,3,3,4,4,2,3,2,4,3,5
1,24,1,3,2,4,1,3,4,4,1,2,2,4,2,5,2,4,2,5,2,4,4,4,4,3,2,4,3
1,22,2,4,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,4
1,26,2,3,3,4,3,1,5,5,2,2,4,3,3,4,4,5,3,1,3,2,4,3,5,3,3,2,5
1,41,2,4,3,2,2,3,3,4,3,4,3,4,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3
1,51,1,4,3,4,2,4,5,5,2,3,4,4,2,4,4,5,2,4,2,3,4,4,4,3,2,3,4
2,42,1,4,3,5,1,3,2,5,1,4,2,4,4,4,2,4,3,2,2,2,4,4,4,5,1,3,4
2,32,4,3,2,4,3,3,5,4,3,3,4,4,3,2,5,4,4,3,4,2,5,3,3,3,1,4,3
1,21,2,3,2,4,2,2,4,4,2,2,3,4,2,4,3,3,2,2,3,2,4,4,4,4,2,4,4
2,25,1,5,4,5,1,3,4,4,1,2,2,3,1,4,3,5,1,4,3,2,5,3,3,4,3,4,4
2,42,2,4,1,4,2,1,3,5,2,1,2,4,3,3,2,3,3,3,2,2,4,3,4,3,2,5,3
1,30,1,3,1,4,1,1,5,3,1,4,4,1,1,4,2,2,4,1,3,4,3,3,2,4,3,2,4
1,43,2,4,3,4,2,1,5,5,2,4,2,3,2,2,4,4,3,3,2,3,4,4,5,2,2,3,4
1,28,2,4,4,3,2,4,4,5,2,2,4,4,2,3,4,5,2,3,3,2,4,4,5,3,2,4,4
1,25,2,2,4,3,3,2,3,4,2,3,3,4,4,5,4,3,2,2,2,3,3,4,3,3,1,2,2
2,29,1,3,4,5,1,1,5,5,2,3,2,5,1,5,2,5,2,4,2,2,4,4,4,1,2,5,2
1,69,2,4,4,4,2,4,5,5,2,4,2,4,2,4,4,5,2,4,3,3,2,4,5,4,2,2,3
1,31,1,3,4,2,1,1,5,4,1,2,5,4,1,3,4,1,1,1,5,1,3,4,2,4,2,2,5
2,37,1,3,4,2,3,1,5,4,2,2,4,2,3,1,5,4,3,2,3,2,1,4,3,4,3,3,5
2,47,1,4,1,5,1,1,3,5,2,1,3,5,1,3,4,5,3,4,2,3,5,4,5,4,2,5,2
1,35,1,3,3,3,1,1,5,3,1,3,4,2,3,3,5,3,2,4,2,4,2,4,4,4,4,2,4
1,32,2,4,3,4,1,1,4,4,1,2,3,4,2,3,5,4,2,3,4,3,4,2,4,2,2,3,4
1,52,3,3,3,5,1,1,3,5,3,3,2,5,2,2,4,4,2,2,3,3,5,3,4,2,2,5,3
2,36,4,4,3,3,3,4,3,5,3,4,4,3,3,4,3,3,4,5,3,3,2,3,3,4,3,4,2
1,26,1,3,4,5,1,4,3,5,1,2,4,5,1,4,3,5,2,5,4,3,3,4,5,4,3,4,4
2,42,3,4,3,4,2,2,4,5,3,3,3,4,4,4,4,5,4,4,4,3,4,4,5,2,2,4,4
1,44,1,4,3,4,3,2,2,4,1,3,4,4,3,4,4,4,2,3,3,1,5,3,4,3,2,4,3
1,38,3,3,1,4,3,1,3,5,3,1,3,2,4,1,4,4,4,2,3,1,1,3,4,3,1,2,4
1,34,2,2,3,3,2,2,4,4,2,2,4,2,2,2,4,4,2,3,4,2,2,2,3,2,4,2,2
2,49,2,4,4,2,3,3,4,4,2,4,4,2,3,3,4,3,2,2,4,4,2,2,3,4,4,2,4
2,52,3,4,5,1,3,1,2,1,1,1,5,2,4,4,2,1,4,4,3,5,1,3,2,4,5,3,4
1,38,3,3,3,4,2,1,5,4,4,3,5,4,2,2,4,4,2,5,4,4,4,4,4,2,3,4,4
1,34,1,2,2,3,1,1,5,3,1,1,3,3,1,3,4,3,1,2,1,2,4,2,3,2,2,2,5
1,25,3,4,3,2,3,2,2,3,1,3,2,1,2,4,2,3,4,4,2,3,2,3,2,2,3,2,2
2,30,3,5,5,1,3,5,2,4,2,5,4,1,1,4,2,1,1,4,4,4,1,2,2,4,4,2,4
1,34,2,2,1,4,2,2,3,4,2,2,3,4,2,4,3,4,3,3,3,2,4,4,4,4,2,4,3
2,27,1,3,3,3,1,1,4,5,1,3,3,2,1,3,4,4,1,2,2,3,3,3,4,3,3,4,4
1,27,1,3,3,3,2,2,4,4,1,2,2,3,2,4,4,4,1,3,3,2,3,4,3,4,4,2,4
1,52,2,3,4,2,2,2,4,5,3,3,3,4,3,3,5,4,4,2,2,4,4,2,4,3,2,3,4
1,23,2,4,2,3,2,2,3,4,2,4,4,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3,3
2,18,1,1,2,4,1,4,1,5,1,1,4,4,2,2,4,3,1,3,2,4,5,2,3,3,1,4,4
2,32,5,3,3,3,3,1,5,5,5,1,3,3,2,3,5,5,5,2,1,1,5,3,5,2,3,3,5
2,23,2,4,4,3,2,1,5,4,2,3,5,3,3,4,5,4,4,3,5,5,3,2,2,4,4,3,4
2,36,1,4,2,3,1,1,5,5,1,1,2,4,1,3,3,5,1,2,3,3,3,3,4,4,2,4,1
1,31,1,2,3,3,1,4,3,4,1,2,3,4,1,4,3,4,1,2,3,3,4,3,4,4,3,4,4
1,27,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3
1,42,1,4,3,3,2,3,5,4,1,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,2,5
2,34,3,4,4,3,3,1,5,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3,3
1,23,2,3,2,4,2,3,3,5,1,3,2,4,2,3,2,4,2,3,1,3,4,4,3,3,4,4,2
1,25,5,3,2,3,5,4,4,4,5,3,4,1,3,3,4,2,3,5,3,1,1,3,2,2,2,2,2
2,24,1,4,2,3,2,1,3,4,1,3,2,4,2,4,4,3,1,5,2,3,4,5,4,4,2,4,4
2,22,1,4,4,3,1,1,2,4,1,3,1,2,3,4,3,4,2,2,2,4,3,2,4,4,4,3,4
2,29,1,4,5,3,1,2,3,5,1,2,2,3,2,4,5,4,2,3,2,3,5,4,4,4,2,2,4
1,29,3,3,3,4,3,2,4,4,3,2,3,4,3,2,3,4,2,4,3,3,4,2,4,3,2,4,3
2,20,1,2,3,2,2,2,3,4,2,2,2,4,2,3,3,3,3,3,3,4,3,4,3,4,3,4,3
1,42,1,2,3,2,1,1,5,5,1,3,4,5,3,2,5,5,3,1,3,3,4,1,5,1,3,4,5
2,30,2,4,3,4,1,2,4,3,1,2,4,3,1,3,4,2,2,3,3,3,3,3,2,3,2,4,4
1,50,1,3,3,4,1,2,5,5,1,1,3,3,3,3,4,5,1,2,4,3,5,2,4,3,2,3,4
1,66,3,4,2,4,1,2,5,5,4,1,4,2,2,1,3,5,2,2,2,3,4,2,4,1,1,3,4
2,37,3,4,1,4,4,5,4,5,4,4,3,4,3,4,5,4,5,5,4,4,2,4,4,4,4,4,4
1,37,1,3,3,4,3,3,4,4,3,3,3,3,4,4,5,5,3,4,3,3,4,4,4,4,3,4,3
1,26,1,4,1,5,1,2,5,5,1,2,3,5,1,4,4,5,1,4,2,1,5,4,5,4,2,5,5
2,35,1,3,3,4,1,2,4,4,1,2,4,4,2,3,4,2,4,3,4,4,5,3,4,3,4,4,4
2,32,3,2,2,4,4,4,1,5,3,1,2,5,2,2,4,5,4,3,3,3,3,2,4,4,2,4,2
1,34,1,1,1,3,1,2,4,3,1,1,3,4,1,2,3,3,1,1,2,1,2,2,2,2,1,2,3
2,36,4,5,4,5,3,3,5,5,3,5,5,5,2,4,5,5,2,3,4,4,5,3,5,4,3,5,3
2,34,2,4,3,5,1,2,5,5,2,2,4,5,2,4,5,5,4,4,4,3,5,3,4,2,3,5,5
2,59,3,2,3,4,3,2,4,5,3,2,4,3,2,2,3,5,4,3,4,4,5,2,5,2,4,4,5
2,46,4,3,2,3,4,1,5,5,4,2,4,4,2,3,4,5,4,4,3,4,4,3,4,2,4,3,5
1,19,1,1,3,3,2,3,4,4,1,1,4,3,3,3,4,4,1,1,3,4,4,2,3,3,3,3,4
2,33,1,4,4,3,3,1,5,3,3,4,4,4,3,4,4,2,4,3,4,5,3,4,3,5,5,2,4
1,43,2,3,2,4,2,2,2,4,2,3,2,3,2,3,3,5,3,3,2,3,4,3,4,3,3,3,3
1,22,2,3,4,1,2,1,4,5,1,3,3,4,4,2,4,3,2,3,4,4,2,3,3,4,4,4,5
2,25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,28,4,5,2,3,4,5,4,5,4,3,2,5,3,4,3,5,4,5,2,3,4,5,5,4,4,3,4
1,22,5,4,2,2,4,5,5,4,5,2,4,4,4,2,4,4,4,4,3,4,2,4,4,4,3,4,5
2,42,1,3,3,4,1,1,5,5,1,1,4,4,1,1,3,4,1,1,2,2,5,4,4,4,2,3,5
2,32,3,4,3,2,4,3,4,2,3,2,2,4,3,4,4,4,3,4,2,4,4,3,4,4,4,3,2
2,23,1,3,3,3,1,2,3,3,1,2,3,4,1,4,3,3,2,3,2,2,2,3,3,4,3,4,3
2,23,2,4,3,4,1,2,5,4,1,4,2,3,1,5,1,4,4,4,1,4,4,4,3,4,1,3,2
2,36,2,5,4,4,2,3,2,4,2,3,3,4,2,4,3,4,2,3,3,2,4,3,4,4,3,4,2
1,25,3,4,4,5,3,1,5,4,3,4,4,5,4,4,4,4,3,3,4,4,5,4,4,4,4,5,4
2,65,2,4,3,4,1,1,5,4,1,2,2,4,1,5,2,4,2,2,1,4,4,5,4,4,1,4,4
1,32,2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,4,2,3,4,3,4,3,4,3,3,4,4
