"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
6,1,21,4,1,4,3,3,2,4,1,4,3,2,3,3,3,4,4,2,3,2,3,3,4,4,4,4,3,4
6,1,24,4,4,4,4,3,3,2,1,3,2,3,4,4,5,4,4,3,4,2,3,3,3,4,3,2,3,4
6,1,23,2,4,3,4,3,3,1,1,4,3,3,4,2,3,2,4,3,2,2,3,3,4,4,2,2,3,5
6,1,20,4,1,2,2,2,1,2,4,3,3,4,3,3,4,2,3,4,1,2,4,3,3,4,4,4,3,5
6,1,26,3,2,2,2,2,1,1,3,3,5,2,3,1,1,2,2,2,4,2,2,2,4,2,1,1,2,2
6,1,28,3,2,3,3,3,2,3,2,4,3,2,3,4,5,4,4,4,3,3,5,2,5,3,5,4,4,3
6,1,23,3,2,2,2,3,2,2,1,3,3,2,3,3,4,3,3,3,3,2,4,3,2,4,2,3,2,3
6,1,32,3,2,1,3,2,4,1,4,4,4,4,4,4,5,3,2,2,4,2,4,2,5,2,4,4,2,2
6,1,26,3,2,2,4,2,2,1,2,4,3,4,5,3,5,3,3,3,4,3,4,4,5,4,3,4,4,4
6,1,22,1,1,1,1,2,4,1,3,4,2,2,4,1,4,2,2,1,2,1,2,3,4,4,4,3,3,4
6,1,24,1,1,1,1,1,1,1,2,3,4,3,1,4,5,1,3,1,3,1,5,2,4,2,2,1,2,1
6,1,24,4,3,1,2,2,4,1,4,4,3,4,4,3,5,3,2,4,4,4,5,2,4,3,4,2,4,3
6,1,24,2,1,1,2,1,2,2,1,3,2,2,1,3,5,3,2,4,4,3,5,4,5,4,5,4,4,4
6,1,23,4,2,2,4,2,2,2,2,2,4,4,4,2,5,4,4,3,5,3,4,4,2,4,3,2,4,3
6,1,23,1,2,1,1,4,2,1,2,3,3,3,3,1,2,1,2,2,2,1,5,2,3,2,3,1,2,2
6,1,24,3,3,3,4,3,4,3,3,4,4,4,4,3,5,3,5,3,4,3,4,4,5,4,2,4,2,3
6,1,28,3,3,1,3,1,3,1,3,4,1,3,4,5,4,5,4,4,4,5,5,1,3,1,3,1,1,1
6,1,43,3,1,2,3,1,3,1,2,3,2,4,4,1,1,1,2,1,4,1,2,1,3,4,2,1,2,5
6,1,22,2,3,2,4,2,2,2,3,4,2,4,3,2,3,4,4,3,4,3,3,3,4,3,3,3,4,3
6,1,20,4,1,5,3,4,1,2,3,3,4,2,5,4,4,4,5,4,3,5,3,2,4,5,2,3,2,3
6,1,19,1,1,1,2,4,3,1,1,4,1,1,3,1,4,1,5,5,4,1,5,2,2,4,2,1,3,5
6,1,22,4,2,1,2,1,4,1,3,3,3,3,4,3,4,2,4,2,3,2,5,2,4,4,2,4,4,4
6,1,20,3,1,2,3,1,3,4,2,3,3,3,3,1,5,3,3,4,3,2,4,3,3,5,2,4,2,3
6,1,25,2,1,1,1,1,3,2,3,1,2,2,1,3,4,3,4,3,3,1,4,3,3,3,3,4,3,3
6,1,20,5,4,5,4,3,4,4,4,4,4,5,5,3,5,5,5,4,5,4,3,5,5,5,5,5,3,4
6,1,35,2,2,1,2,2,2,2,1,3,4,3,2,3,4,4,3,2,3,2,2,4,2,4,2,4,3,3
6,1,25,3,2,1,3,4,2,2,2,4,3,4,3,4,3,2,3,3,4,3,2,2,4,3,3,4,3,4
6,1,22,1,1,1,1,2,1,1,1,3,2,3,2,4,5,4,5,4,4,2,2,3,3,3,3,2,3,2
6,1,19,1,1,1,1,1,3,4,1,3,3,3,3,3,5,4,3,4,3,2,1,3,5,4,4,3,3,3
6,1,19,3,1,1,1,1,1,1,1,2,3,5,3,4,5,5,4,5,5,4,5,1,3,5,3,4,1,3
6,1,22,1,1,1,1,1,2,3,2,1,1,1,4,1,4,1,4,1,4,1,5,2,2,2,3,2,1,1
6,1,26,3,2,1,2,1,4,2,4,4,3,3,4,3,3,4,4,4,3,3,4,2,4,3,3,3,3,2
6,1,21,3,2,2,4,2,5,3,4,4,4,4,4,2,4,4,4,4,4,4,5,4,4,4,2,3,2,3
6,1,22,4,1,3,2,3,1,2,1,1,3,3,2,2,5,3,3,2,2,2,2,3,2,4,3,2,2,3
6,1,23,2,1,1,3,4,3,1,2,3,2,3,4,3,5,3,3,3,3,2,5,2,4,5,4,4,4,3
6,1,23,1,1,1,1,2,2,1,1,2,4,3,3,1,5,1,2,3,2,1,5,2,1,4,4,2,3,2
6,1,26,4,2,1,1,1,1,3,1,2,2,3,3,1,1,1,1,1,1,1,2,4,5,4,4,1,1,4
6,1,25,1,1,1,5,1,2,1,1,4,2,1,1,4,5,4,4,4,3,4,5,2,5,4,3,2,2,4
6,1,23,2,2,2,3,1,2,1,4,3,4,3,4,1,5,2,4,1,2,2,3,4,3,3,4,2,3,4
6,1,23,1,2,1,1,1,3,2,2,2,2,2,3,2,3,1,2,1,1,1,5,3,4,3,3,3,2,3
6,1,21,1,3,2,2,1,2,1,1,4,1,4,3,3,4,3,3,4,3,2,5,1,2,1,2,1,2,1
6,1,25,3,3,3,5,3,4,2,3,3,4,3,4,3,5,4,4,4,4,4,4,5,4,5,4,3,3,3
6,1,23,3,2,1,2,1,4,2,1,3,3,4,4,2,4,2,3,3,4,3,2,4,4,3,4,3,3,3
6,1,40,2,2,1,1,5,2,2,1,4,2,4,2,1,5,2,4,3,3,1,5,4,4,3,2,2,2,4
6,1,21,3,2,2,3,2,2,1,2,2,3,3,3,3,4,3,4,3,4,2,3,4,4,3,3,2,3,3
6,1,24,1,1,1,1,1,2,2,2,2,3,3,3,1,3,2,2,2,3,2,4,3,2,2,3,2,2,2
6,1,NA,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3
6,1,24,4,2,2,3,2,3,1,2,3,2,3,3,3,4,4,3,4,4,4,4,2,4,3,3,2,3,2
6,1,37,3,3,2,2,2,4,5,4,3,3,4,4,5,5,3,4,3,4,2,3,1,5,4,3,2,2,3
6,1,23,4,2,1,2,1,2,1,2,2,4,2,4,2,3,2,3,3,4,2,4,3,3,2,2,3,2,3
6,1,37,2,2,1,1,1,2,2,1,3,2,4,2,2,5,4,4,3,3,1,5,4,3,4,3,2,3,3
6,1,23,4,1,1,4,1,3,3,3,3,4,3,3,2,5,5,2,5,5,1,5,3,4,5,2,3,3,2
6,1,19,1,4,5,2,1,2,1,1,5,2,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5
6,1,37,2,1,1,2,1,1,2,2,3,4,3,3,4,1,4,3,4,4,3,5,4,3,3,3,2,3,2
6,1,36,2,1,2,3,1,2,4,4,4,2,5,2,3,4,2,4,4,4,2,4,4,4,4,4,4,4,4
6,1,20,4,2,2,2,4,2,2,1,4,4,4,4,4,4,3,3,5,4,3,4,1,4,3,4,2,3,3
6,1,20,1,1,1,1,1,2,1,1,3,2,1,3,2,2,4,4,3,3,2,5,3,3,3,1,1,2,2
6,1,20,2,1,1,2,2,3,3,2,2,2,3,2,3,4,3,3,3,3,3,3,4,4,2,3,3,2,4
6,1,23,1,1,1,4,1,3,3,1,4,2,3,3,2,3,2,4,3,4,2,3,4,3,3,3,4,3,3
6,1,22,4,2,1,3,4,2,1,2,2,3,2,3,1,5,5,4,4,4,2,5,1,4,4,3,3,2,4
6,1,21,2,2,1,2,1,4,3,1,2,3,2,2,2,5,2,2,3,3,1,5,3,4,4,4,4,2,5
6,1,18,2,2,2,2,4,2,2,2,4,3,4,4,3,4,3,3,3,4,2,4,4,4,3,3,3,3,3
6,1,23,2,2,1,3,5,3,4,1,4,4,4,4,4,4,3,3,2,2,2,2,4,2,4,5,4,4,4
6,1,18,3,1,2,2,3,4,1,2,4,3,4,4,3,2,4,3,3,3,3,3,2,3,5,2,2,2,4
6,1,21,3,1,1,1,2,5,1,3,1,4,1,3,5,5,3,3,3,4,2,5,2,5,2,4,2,3,3
6,1,24,3,1,3,2,3,4,4,2,2,2,3,4,2,5,2,3,1,3,3,5,4,4,3,3,4,1,2
6,1,22,4,3,3,4,3,4,4,3,4,4,3,4,3,5,4,4,4,2,3,4,2,4,3,3,4,4,3
6,1,20,2,2,1,2,2,2,2,1,4,3,4,4,3,4,2,3,3,4,3,4,2,2,2,3,3,3,3
6,1,20,3,3,2,4,2,2,2,2,4,3,2,5,3,4,4,3,4,5,3,4,2,3,4,2,3,3,3
6,1,20,4,3,3,2,2,2,2,2,3,4,2,3,5,5,3,3,4,3,3,4,2,4,3,2,3,2,2
6,1,23,2,2,3,3,4,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,2,3,3,2,3,2,2
6,1,19,2,1,1,3,1,3,3,1,3,3,4,4,3,4,4,4,2,4,1,2,3,5,5,4,4,4,3
6,1,25,2,1,2,1,2,3,1,2,2,2,1,2,2,2,2,2,2,3,2,3,2,2,4,2,2,2,2
6,1,26,1,1,1,3,2,2,3,1,2,4,3,4,2,3,2,4,3,1,3,3,5,5,5,3,5,2,5
6,1,24,2,1,2,1,1,3,2,2,4,1,5,4,2,4,2,3,1,3,2,3,4,3,4,4,4,2,2
6,1,22,3,3,3,4,3,3,4,3,3,3,4,3,3,5,4,4,3,3,3,3,3,4,5,3,3,3,3
6,1,22,3,1,2,2,1,3,1,3,3,3,2,3,2,5,3,3,4,4,3,4,2,2,4,3,3,3,2
6,1,23,1,1,3,3,2,4,1,3,2,3,3,4,3,5,3,4,2,3,2,3,3,3,4,2,2,4,2
6,1,37,3,2,2,2,2,3,2,3,2,4,3,3,3,4,3,2,2,4,2,4,2,4,2,2,2,2,2
6,1,22,4,1,1,1,1,2,1,1,1,3,5,4,2,4,3,2,3,4,2,3,4,2,4,3,4,3,5
6,1,22,2,3,2,2,2,3,4,3,4,3,3,2,2,4,3,4,3,3,3,5,3,3,3,4,3,4,4
6,1,40,2,2,1,2,1,4,2,2,3,2,2,2,2,3,4,3,2,2,2,4,3,2,3,2,2,2,3
6,1,28,1,2,1,4,1,3,2,1,3,4,4,4,3,3,2,3,2,3,2,5,3,4,5,3,1,2,5
6,1,20,3,2,2,4,4,4,1,2,4,5,4,5,4,5,4,4,5,5,2,4,2,4,4,3,3,4,3
6,1,25,5,4,5,5,3,4,1,3,3,5,4,4,2,5,5,5,5,4,3,4,2,5,5,5,2,4,2
6,1,41,2,1,1,1,1,1,1,1,3,2,2,2,1,4,3,2,1,3,1,3,4,3,4,3,4,3,4
6,1,21,3,4,1,3,1,3,2,3,3,2,4,4,3,4,2,3,3,3,3,4,2,3,3,1,2,3,3
6,1,21,3,2,2,2,2,3,2,2,3,4,4,4,2,3,4,4,3,4,3,3,4,4,5,4,3,3,2
6,1,23,1,3,2,3,2,2,3,2,3,3,3,3,4,4,3,4,3,1,1,3,1,1,2,1,4,4,3
6,1,25,3,2,3,3,2,4,3,3,3,4,3,4,2,5,3,3,3,2,3,4,4,4,4,3,4,3,4
6,1,35,1,1,1,3,1,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,3
6,1,25,1,1,1,1,1,3,3,3,3,5,4,3,1,3,1,5,3,1,1,2,4,4,5,5,3,4,4
6,1,21,2,2,2,3,2,3,1,2,4,2,4,2,2,2,3,3,3,2,2,3,2,4,3,3,2,2,3
6,1,37,3,2,2,3,2,3,2,2,2,3,3,2,3,4,3,3,3,4,2,4,4,4,4,4,4,4,2
6,1,30,5,4,1,2,2,4,3,4,5,2,4,3,4,4,4,2,4,4,4,3,2,2,4,3,3,3,3
6,1,20,3,2,2,2,2,3,1,2,3,2,3,3,2,4,2,4,2,3,3,4,3,4,4,3,2,2,3
6,1,23,3,2,2,3,1,3,2,1,3,2,3,3,2,4,2,2,2,3,2,5,2,4,2,1,4,2,2
6,1,44,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,3,2,4,2,3,3,2,2,2,2
6,1,19,4,2,2,4,2,3,2,3,4,3,3,3,4,4,4,3,4,4,2,4,2,4,3,2,3,2,5
6,1,22,3,1,2,1,1,2,4,1,2,3,2,2,2,3,4,2,4,4,2,2,1,4,5,2,2,2,3
6,1,25,2,2,2,2,2,2,2,2,4,4,4,4,1,4,2,4,2,4,2,4,2,4,4,3,2,4,4
6,1,23,1,1,1,2,2,3,3,2,4,2,3,3,2,3,2,2,2,4,2,4,3,4,4,4,3,3,4
6,1,21,1,1,1,1,1,3,3,3,4,3,2,3,2,5,2,4,4,1,4,5,4,4,5,4,3,4,1
6,1,22,3,2,1,2,1,3,2,2,2,3,4,2,2,4,3,2,4,4,1,4,3,4,4,5,4,4,3
6,1,20,2,1,2,2,2,3,2,2,4,4,4,4,2,4,2,2,2,5,2,5,3,4,2,4,2,2,3
6,1,23,2,3,2,2,2,4,2,3,3,2,2,3,2,5,4,2,3,4,2,2,2,4,3,5,3,3,4
6,1,19,3,1,1,1,1,5,5,3,4,4,5,4,4,3,2,3,4,4,3,5,2,3,4,1,2,2,4
6,1,23,1,1,2,2,2,3,2,3,3,3,4,4,1,4,1,3,3,3,2,4,4,4,4,4,4,4,3
6,1,21,2,1,2,2,1,3,1,2,1,2,4,3,2,5,4,4,2,4,4,4,4,3,5,3,4,4,4
6,1,22,1,1,1,2,1,3,2,3,4,2,4,4,2,4,4,2,3,4,3,3,4,3,2,3,2,2,3
6,1,38,2,3,2,1,1,4,3,5,2,4,3,2,1,3,1,2,3,4,2,1,2,1,2,5,3,3,2
6,1,23,3,3,3,2,4,2,3,3,3,3,2,3,2,4,3,4,5,4,2,3,3,5,3,5,2,4,4
6,1,20,1,1,1,1,2,3,2,2,3,3,4,4,3,5,4,4,2,4,2,4,5,5,2,5,5,2,4
6,1,27,2,3,3,3,1,2,1,2,4,1,4,4,4,5,2,2,4,1,3,4,2,3,4,1,1,3,3
6,1,32,3,1,1,1,1,4,1,1,1,1,3,5,3,3,2,1,1,2,3,5,1,1,1,1,1,1,1
6,1,48,5,5,5,5,5,1,5,3,3,3,2,3,3,5,5,5,5,5,3,3,3,2,3,5,3,3,3
6,1,21,1,1,1,1,1,2,4,1,3,5,4,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,3
6,1,19,1,1,1,1,1,1,4,1,4,2,3,3,5,5,4,4,5,5,3,5,3,4,4,4,2,2,1
6,1,28,3,1,1,2,2,2,2,2,2,2,3,1,2,4,2,3,2,4,3,5,3,5,5,3,2,2,2
6,1,19,1,1,1,2,2,2,2,1,4,3,1,4,4,4,4,4,4,5,2,5,2,4,3,3,2,3,4
6,1,30,2,1,1,2,2,2,2,2,3,3,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4
6,1,21,1,2,1,1,1,2,1,2,3,2,2,3,3,4,2,3,3,2,2,3,3,3,3,3,2,2,3
6,1,37,1,1,1,1,1,2,1,1,3,3,2,3,3,1,3,4,4,4,3,5,3,2,2,4,3,3,3
6,1,38,1,1,1,1,1,1,1,1,1,4,4,1,1,2,1,3,2,1,1,2,3,2,4,1,1,1,3
6,1,19,1,1,1,2,4,2,2,2,3,3,4,4,2,4,3,2,4,5,2,5,3,4,4,2,2,2,2
6,1,20,1,1,1,2,1,1,1,1,1,3,1,1,3,5,4,3,4,4,2,5,3,5,3,4,4,4,4
6,1,23,1,2,2,2,1,3,1,2,3,3,1,3,2,4,3,3,1,3,2,4,3,2,2,2,2,2,2
6,1,30,1,1,1,1,1,3,2,2,4,2,3,3,3,4,4,2,2,3,2,4,4,4,4,4,3,3,3
6,1,23,2,2,2,1,2,1,1,1,3,2,3,4,4,5,3,2,4,3,2,5,2,3,4,3,2,2,3
6,1,40,2,2,1,2,1,4,2,3,2,4,4,4,3,4,2,2,3,5,3,3,2,4,2,2,3,3,4
6,1,51,2,2,2,3,2,2,2,1,2,2,3,4,2,5,2,4,2,3,2,4,3,4,3,4,3,3,3
6,1,20,2,1,2,2,3,4,2,3,5,4,5,3,3,5,3,3,2,3,2,3,3,4,2,4,2,4,1
